;Married;Number of Dependents;Zip Code;Number of Referrals;Tenure in Months;Offer;Internet Type;Avg Monthly GB Download;Contract;Paperless Billing;Payment Method;Monthly Charge;Age_disc;Total Streaming;Premium Services;Refunds;Average Monthly Extra Data Charges
70;Yes;0;0.9016393442622945;1;0.1267605633802817;Offer D;None;0.0;Month-to-Month;Yes;Bank Withdrawal;0.03089232299444905;0.0;0.0;0.0;0.0;0.0
71;Yes;0;0.5901639344262293;1;0.28169014084507044;None;Fiber Optic;0.6941176470588235;Month-to-Month;Yes;Bank Withdrawal;0.9118062208830349;0.08333333333333337;1.0;0.6666666666666666;0.0;0.07142857142857144
72;Yes;1;0.7377049180327866;1;0.5070422535211268;None;DSL;0.27058823529411763;Month-to-Month;No;Bank Withdrawal;0.2263828044436969;0.5;0.0;0.6666666666666666;0.0;0.0
73;No;0;0.8688524590163933;0;0.35211267605633806;None;Fiber Optic;0.08235294117647059;Month-to-Month;Yes;Credit Card;0.6665984071145956;0.8333333333333335;0.3333333333333333;0.3333333333333333;0.0;0.0
74;No;0;0.9016393442622945;0;0.6901408450704226;Offer B;DSL;0.08235294117647059;One Year;Yes;Credit Card;0.1800443199520233;0.4166666666666667;0.0;0.5;0.0;0.0
75;No;0;0.3442622950819665;0;0.08450704225352114;None;Fiber Optic;0.3058823529411765;Month-to-Month;Yes;Bank Withdrawal;0.5512348884322;0.16666666666666669;0.3333333333333333;0.3333333333333333;1.0;0.0
76;Yes;0;0.278688524590164;1;0.8450704225352113;Offer B;DSL;0.32941176470588235;Two Year;No;Mailed Check;0.6888022642668559;0.6666666666666667;1.0;1.0;0.0;0.0
77;No;0;0.8688524590163933;0;0.19718309859154928;Offer D;Fiber Optic;0.1411764705882353;Month-to-Month;Yes;Bank Withdrawal;0.8167157891657464;0.3333333333333333;1.0;0.5;0.0;0.0
78;No;1;0.21311475409835978;0;0.35211267605633806;None;DSL;0.22352941176470587;Month-to-Month;No;Credit Card;0.2804443696839827;0.5;0.6666666666666666;0.5;0.0;0.0
79;Yes;0;0.9180327868852451;1;1.0;None;Fiber Optic;0.27058823529411763;Month-to-Month;Yes;Bank Withdrawal;0.7520349878961188;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0
80;Yes;0;0.278688524590164;1;0.6056338028169015;None;None;0.0;One Year;Yes;Bank Withdrawal;0.03620194100911997;0.75;0.0;0.0;0.0;0.0
81;No;0;0.8852459016393439;0;0.9154929577464789;Offer A;Fiber Optic;0.09411764705882353;Month-to-Month;No;Credit Card;0.7013522704833508;0.5833333333333333;0.6666666666666666;0.3333333333333333;1.0;0.007575757575757576
82;No;0;0.29508196721311464;0;0.014084507042253521;None;Fiber Optic;0.18823529411764706;Month-to-Month;Yes;Bank Withdrawal;0.6709426400356902;0.3333333333333333;0.0;0.6666666666666666;0.0;0.0
83;No;0;0.06557377049180246;0;0.6056338028169015;None;DSL;0.2;One Year;No;Bank Withdrawal;0.5608887393679653;0.9166666666666667;1.0;0.5;1.0;0.0
84;No;0;0.8524590163934427;0;0.15492957746478872;Offer D;Fiber Optic;0.07058823529411765;Month-to-Month;Yes;Bank Withdrawal;0.7047311183108687;0.5833333333333333;0.3333333333333333;0.5;0.0;0.0
85;Yes;0;0.0;1;0.9577464788732395;None;Fiber Optic;0.2;Two Year;Yes;Bank Withdrawal;0.8997389072133282;0.8333333333333335;0.6666666666666666;0.8333333333333333;0.0;0.0
86;No;0;0.7377049180327866;0;0.0;Offer E;Fiber Optic;0.8117647058823529;Month-to-Month;Yes;Mailed Check;0.6125368418743098;0.08333333333333337;0.0;0.5;0.0;0.0
87;No;0;0.8524590163934427;0;0.02816901408450704;Offer E;None;0.0;Month-to-Month;No;Credit Card;0.02992693790087253;0.08333333333333337;0.0;0.0;0.0;0.0
88;Yes;0;0.4098360655737707;1;0.014084507042253521;None;Fiber Optic;0.6235294117647059;Month-to-Month;No;Bank Withdrawal;0.7105234288723279;0.0;0.3333333333333333;0.5;0.0;0.0
89;No;0;0.32786885245901587;0;0.36619718309859156;None;Fiber Optic;0.047058823529411764;Two Year;Yes;Bank Withdrawal;0.6728734102228431;0.9166666666666667;0.0;0.6666666666666666;0.0;0.0
90;No;0;0.5737704918032787;0;0.35211267605633806;Offer C;None;0.0;Month-to-Month;Yes;Bank Withdrawal;0.03427117082196693;0.5833333333333333;0.0;0.0;0.0;0.0
91;Yes;0;0.557377049180328;1;0.5352112676056339;None;Fiber Optic;0.24705882352941178;Month-to-Month;Yes;Bank Withdrawal;0.8157504040721699;0.9166666666666667;1.0;0.5;0.0;0.0
92;No;0;0.8688524590163933;0;0.33802816901408456;None;Fiber Optic;0.09411764705882353;Month-to-Month;Yes;Bank Withdrawal;0.752517680442907;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0
93;No;0;0.4918032786885238;0;0.0;Offer E;Fiber Optic;0.27058823529411763;Month-to-Month;No;Mailed Check;0.5227560281716923;0.4166666666666667;0.0;0.16666666666666666;0.0;0.0
94;Yes;0;0.557377049180328;1;0.295774647887324;Offer D;DSL;0.24705882352941178;Month-to-Month;Yes;Bank Withdrawal;0.36153671754441147;0.5;0.0;0.5;0.0;0.0
95;No;0;0.7377049180327866;0;1.0;Offer A;Fiber Optic;0.058823529411764705;Two Year;Yes;Bank Withdrawal;0.9475254693453667;0.5833333333333333;1.0;1.0;0.0;0.0
96;No;0;0.0983606557377037;0;0.323943661971831;None;None;0.0;Two Year;Yes;Bank Withdrawal;0.027030782620142912;0.5;0.0;0.0;0.0;0.0
97;Yes;0;0.5737704918032787;1;0.25352112676056343;None;Fiber Optic;0.18823529411764706;Month-to-Month;Yes;Bank Withdrawal;0.6767349505971492;0.25000000000000006;0.3333333333333333;0.3333333333333333;0.0;0.0
98;Yes;1;0.32786885245901587;1;0.9859154929577465;None;None;0.0;Two Year;No;Credit Card;0.0830231180475818;0.0;0.0;0.16666666666666666;0.0;0.0
99;Yes;0;0.3606557377049171;1;0.4507042253521127;None;Fiber Optic;0.23529411764705882;One Year;Yes;Bank Withdrawal;0.8992562146665399;1.0;0.6666666666666666;0.8333333333333333;0.0;0.0
100;No;0;0.8688524590163933;0;0.02816901408450704;None;None;0.0;Month-to-Month;No;Credit Card;0.03089232299444905;0.6666666666666667;0.0;0.0;0.0;0.0
101;Yes;1;0.8688524590163933;1;0.647887323943662;None;Fiber Optic;0.15294117647058825;Month-to-Month;No;Bank Withdrawal;0.6801137984246672;0.5833333333333333;0.3333333333333333;0.5;0.0;0.0
102;Yes;1;0.3442622950819665;1;0.8591549295774649;None;Fiber Optic;0.23529411764705882;Two Year;No;Credit Card;0.8823619755289507;0.3333333333333333;1.0;0.8333333333333333;0.0;0.0
103;No;0;0.9180327868852451;0;0.9859154929577465;None;Fiber Optic;0.5647058823529412;One Year;Yes;Bank Withdrawal;0.9610408606554379;0.0;1.0;1.0;0.0;0.0
104;Yes;0;0.6065573770491799;1;0.08450704225352114;None;Fiber Optic;0.12941176470588234;Two Year;Yes;Bank Withdrawal;0.6974907301090447;0.8333333333333335;1.0;0.16666666666666666;0.0;0.0
105;Yes;1;0.5901639344262293;1;0.36619718309859156;Offer C;Fiber Optic;0.32941176470588235;Month-to-Month;No;Credit Card;0.556544506446871;0.5833333333333333;0.0;0.3333333333333333;0.0;0.0
106;No;0;0.6557377049180317;0;0.014084507042253521;None;None;0.0;Month-to-Month;No;Credit Card;0.03185770808802557;0.25000000000000006;0.0;0.0;0.0;0.0
107;No;1;0.3606557377049171;0;0.33802816901408456;Offer C;Cable;0.8823529411764706;Two Year;No;Bank Withdrawal;0.1766654721245054;0.16666666666666669;0.0;0.5;0.0;0.0
108;No;0;0.03278688524590123;0;0.4084507042253521;None;DSL;0.058823529411764705;One Year;Yes;Bank Withdrawal;0.5599233542743889;1.0;0.6666666666666666;0.5;0.0;0.0
109;Yes;0;0.557377049180328;1;0.8028169014084507;None;Fiber Optic;0.22352941176470587;One Year;Yes;Credit Card;0.8567792705491726;0.9166666666666667;1.0;0.6666666666666666;0.0;0.0
110;Yes;0;0.524590163934425;1;0.1267605633802817;Offer D;Fiber Optic;0.9647058823529412;Month-to-Month;Yes;Bank Withdrawal;0.6612887890999248;0.08333333333333337;0.6666666666666666;0.16666666666666666;0.0;0.125
111;No;0;0.9180327868852451;0;0.11267605633802817;None;Fiber Optic;0.32941176470588235;Month-to-Month;Yes;Credit Card;0.5642675871954832;0.6666666666666667;0.0;0.3333333333333333;0.0;0.0
112;Yes;0;0.42622950819672134;1;0.07042253521126761;None;Fiber Optic;0.2;Month-to-Month;Yes;Bank Withdrawal;0.652600323257736;1.0;0.3333333333333333;0.3333333333333333;0.0;0.0
113;Yes;1;0.8196721311475397;1;0.9577464788732395;None;Fiber Optic;0.18823529411764706;One Year;No;Bank Withdrawal;0.6535657083513124;0.4166666666666667;0.0;0.5;0.0;0.007246376811594204
114;No;0;0.8688524590163933;0;0.9154929577464789;None;Fiber Optic;0.23529411764705882;Two Year;Yes;Bank Withdrawal;0.8268523326483002;0.8333333333333335;1.0;0.5;0.0;0.0
115;No;0;0.9016393442622945;0;0.971830985915493;Offer A;Fiber Optic;0.611764705882353;One Year;No;Credit Card;0.953800472453614;0.16666666666666669;1.0;1.0;0.0;0.0
116;No;0;0.6557377049180317;0;0.33802816901408456;Offer C;None;0.0;One Year;No;Bank Withdrawal;0.08254042550079355;0.6666666666666667;0.0;0.16666666666666666;0.0;0.0
117;Yes;1;0.42622950819672134;1;0.6338028169014085;Offer B;None;0.0;Two Year;Yes;Credit Card;0.024134627339413323;0.5;0.0;0.0;0.0;0.0
118;Yes;0;0.3770491803278677;1;0.7464788732394366;Offer B;Fiber Optic;0.3058823529411765;One Year;Yes;Credit Card;0.9451120066114254;0.75;1.0;1.0;0.0;0.0
119;No;0;0.6557377049180317;0;0.19718309859154928;None;Fiber Optic;0.08235294117647059;Month-to-Month;No;Bank Withdrawal;0.8529177301748663;0.5833333333333333;1.0;0.6666666666666666;0.0;0.0
120;Yes;1;0.8852459016393439;0;0.15492957746478872;Offer D;None;0.0;Month-to-Month;No;Bank Withdrawal;0.025582704979778104;0.5;0.0;0.0;0.0;0.0
121;No;0;0.7704918032786878;0;0.295774647887324;None;Cable;0.2588235294117647;Month-to-Month;Yes;Bank Withdrawal;0.32436939144171495;0.5;1.0;0.3333333333333333;0.0;0.0
122;Yes;0;0.524590163934425;1;0.971830985915493;None;Cable;1.0;Two Year;No;Bank Withdrawal;0.39629058091316655;0.0;1.0;0.6666666666666666;1.0;0.0
123;No;0;0.4590163934426226;0;0.4084507042253521;Offer C;Fiber Optic;0.23529411764705882;Month-to-Month;Yes;Credit Card;0.6521176307109477;0.5;0.0;0.5;0.0;0.05416666666666667
124;Yes;1;0.3606557377049171;1;0.9859154929577465;Offer A;Fiber Optic;0.6941176470588235;One Year;No;Bank Withdrawal;0.8089927084171342;0.0;1.0;0.5;1.0;0.0
125;Yes;0;0.4918032786885238;1;0.4084507042253521;None;None;0.0;One Year;No;Credit Card;0.029444245354084242;0.25000000000000006;0.0;0.0;0.0;0.0
126;Yes;0;0.3442622950819665;1;0.04225352112676056;Offer E;Fiber Optic;0.22352941176470587;Month-to-Month;Yes;Bank Withdrawal;0.6569445561788303;0.08333333333333337;0.3333333333333333;0.6666666666666666;0.0;0.0
127;No;0;0.32786885245901587;0;0.014084507042253521;Offer E;Fiber Optic;0.32941176470588235;Month-to-Month;Yes;Bank Withdrawal;0.6670810996613838;0.6666666666666667;0.6666666666666666;0.3333333333333333;0.0;0.0
128;No;1;0.4098360655737707;0;0.1267605633802817;None;None;0.0;One Year;Yes;Bank Withdrawal;0.03089232299444905;0.0;0.0;0.0;0.0;0.0
129;No;0;0.278688524590164;0;0.04225352112676056;Offer E;Fiber Optic;0.3411764705882353;One Year;No;Bank Withdrawal;0.5657156648358479;0.75;0.0;0.3333333333333333;0.0;0.0
130;No;0;0.9508196721311464;0;0.7183098591549296;Offer B;DSL;0.22352941176470587;Two Year;Yes;Credit Card;0.30940592249127863;0.8333333333333335;1.0;0.3333333333333333;0.0;0.0
131;No;0;0.3442622950819665;0;0.056338028169014086;None;Cable;1.0;Month-to-Month;No;Bank Withdrawal;0.29347706844726584;0.08333333333333337;0.3333333333333333;0.3333333333333333;0.0;0.0
132;Yes;1;0.8688524590163933;1;0.09859154929577466;Offer E;None;0.0;Two Year;No;Credit Card;0.03282309318160209;0.16666666666666669;0.0;0.0;0.0;0.0
133;No;0;0.3606557377049171;0;0.014084507042253521;Offer E;Cable;0.2588235294117647;One Year;Yes;Bank Withdrawal;0.2659635932803347;0.9166666666666667;0.0;0.16666666666666666;0.0;0.0
134;No;0;0.8688524590163933;0;0.02816901408450704;Offer E;Fiber Optic;0.3058823529411765;Month-to-Month;No;Bank Withdrawal;0.6521176307109477;0.4166666666666667;0.6666666666666666;0.3333333333333333;0.0;0.0
135;No;0;0.8196721311475397;0;0.25352112676056343;Offer D;DSL;0.21176470588235294;Month-to-Month;No;Bank Withdrawal;0.4131848200507559;0.3333333333333333;0.0;0.6666666666666666;0.0;0.0
136;No;0;0.5901639344262293;0;1.0;Offer A;DSL;0.15294117647058825;Two Year;No;Bank Withdrawal;0.5106887145019858;0.5833333333333333;0.0;1.0;0.0;0.0
137;Yes;0;0.9836065573770494;1;0.8732394366197184;Offer B;DSL;0.08235294117647059;One Year;No;Bank Withdrawal;0.18680201560705906;0.9166666666666667;0.0;0.5;0.0;0.0
138;Yes;0;0.21311475409835978;1;0.9154929577464789;None;DSL;0.3411764705882353;Two Year;Yes;Bank Withdrawal;0.3847059597902482;0.3333333333333333;0.3333333333333333;0.8333333333333333;0.0;0.0
139;No;0;0.4098360655737707;0;0.0;None;Fiber Optic;0.3176470588235294;Month-to-Month;Yes;Bank Withdrawal;0.5710252828505191;0.08333333333333337;0.0;0.3333333333333333;0.0;0.0
140;No;0;0.8688524590163933;0;0.8309859154929577;None;Fiber Optic;0.5647058823529412;One Year;Yes;Bank Withdrawal;0.6028829909385445;0.08333333333333337;0.0;0.5;0.0;0.0
