;Married;Number of Dependents;Zip Code;Number of Referrals;Tenure in Months;Offer;Internet Type;Avg Monthly GB Download;Contract;Paperless Billing;Payment Method;Monthly Charge;Age_disc;Total Streaming;Premium Services;Refunds;Average Monthly Extra Data Charges;Churn Status
45;No;0;953;0;12;None;Fiber Optic;25.0;Month-to-Month;Yes;Bank Withdrawal;84.6;30;2;2;0.0;0.0;Customer
46;No;0;940;0;8;None;Fiber Optic;6.0;Two Year;Yes;Credit Card;69.95;65;0;1;0.0;0.0;Customer
47;Yes;0;954;1;72;Offer A;Cable;9.0;Two Year;No;Credit Card;84.45;75;2;5;0.0;0.0;Customer
48;Yes;0;907;1;44;Offer B;Cable;20.0;One Year;Yes;Credit Card;61.5;60;0;3;0.0;3.409090909090909;Customer
49;No;0;936;0;10;None;DSL;23.0;Month-to-Month;No;Bank Withdrawal;36.25;35;0;3;0.0;0.0;Customer
50;No;0;961;0;65;Offer B;None;0.0;One Year;No;Credit Card;24.8;50;0;1;0.0;0.0;Customer
51;No;1;902;0;18;Offer D;DSL;28.0;Month-to-Month;Yes;Credit Card;45.65;60;0;0;0.0;2.2222222222222223;Customer
52;Yes;0;913;1;65;None;Fiber Optic;20.0;Two Year;Yes;Bank Withdrawal;99.35;30;1;5;0.0;0.0;Customer
53;Yes;0;919;1;9;None;None;0.0;One Year;No;Credit Card;19.85;80;0;0;0.0;0.0;Customer
54;Yes;1;920;1;71;None;None;0.0;Two Year;No;Credit Card;25.35;20;0;1;0.0;0.0;Customer
55;Yes;0;921;1;52;None;DSL;85.0;One Year;Yes;Credit Card;75.4;30;3;3;0.0;0.0;Customer
56;Yes;1;939;1;66;Offer A;DSL;59.0;Two Year;No;Bank Withdrawal;79.85;25;3;4;0.0;0.0;Customer
57;Yes;1;919;1;22;None;Fiber Optic;57.0;One Year;Yes;Credit Card;100.05;35;3;3;0.0;0.0;Customer
58;Yes;0;917;1;53;None;Fiber Optic;69.0;One Year;Yes;Bank Withdrawal;111.8;30;3;5;0.0;0.0;Customer
59;No;0;960;0;53;Offer B;Fiber Optic;28.0;One Year;Yes;Credit Card;96.75;70;2;4;0.0;0.0;Customer
60;Yes;0;900;1;63;None;Cable;30.0;Two Year;No;Credit Card;75.55;60;1;5;0.0;0.0;Customer
61;Yes;0;910;1;43;None;Fiber Optic;21.0;One Year;Yes;Bank Withdrawal;84.25;60;0;4;0.0;0.0;Customer
62;No;1;925;0;11;Offer D;Fiber Optic;23.0;Month-to-Month;Yes;Mailed Check;78.0;65;0;3;0.0;0.0;Customer
63;Yes;1;954;1;45;None;Fiber Optic;20.0;Month-to-Month;Yes;Bank Withdrawal;105.15;65;3;4;0.0;0.0;Customer
64;No;1;920;0;39;None;None;0.0;Two Year;No;Credit Card;25.0;50;0;1;0.0;0.0;Customer
65;Yes;0;958;1;31;None;DSL;6.0;One Year;Yes;Credit Card;79.3;45;3;4;0.0;0.0;Customer
66;No;0;945;0;33;None;None;0.0;Two Year;No;Credit Card;25.7;60;0;1;0.0;0.0;Customer
67;Yes;0;900;1;69;None;Cable;17.0;Two Year;Yes;Credit Card;64.15;65;0;4;0.0;0.5797101449275363;Customer
68;Yes;1;961;1;69;None;None;0.0;One Year;Yes;Credit Card;20.35;25;0;0;0.0;0.0;Customer
69;No;0;903;0;52;None;Fiber Optic;25.0;Two Year;Yes;Bank Withdrawal;110.75;75;3;5;1.0;0.0;Customer
70;Yes;0;934;1;68;Offer A;Fiber Optic;15.0;One Year;Yes;Credit Card;80.35;75;0;3;0.0;0.0;Customer
71;No;0;945;0;12;None;None;0.0;Month-to-Month;No;Credit Card;19.45;40;0;0;0.0;0.0;Customer
72;Yes;1;932;1;42;None;DSL;73.0;Month-to-Month;No;Credit Card;54.5;30;0;3;0.0;0.0;Customer
73;No;0;961;0;45;None;Fiber Optic;4.0;Two Year;Yes;Bank Withdrawal;97.05;70;1;5;0.0;0.0;Customer
74;Yes;0;900;1;27;None;DSL;13.0;One Year;No;Credit Card;66.15;45;0;5;0.0;0.0;Customer
75;Yes;0;906;1;27;None;None;0.0;One Year;Yes;Credit Card;20.55;35;0;0;0.0;0.0;Customer
76;No;0;933;0;38;None;None;0.0;Two Year;No;Credit Card;20.3;45;0;0;0.0;0.0;Customer
77;No;0;945;0;29;None;Cable;26.0;Month-to-Month;Yes;Bank Withdrawal;66.1;30;2;3;0.0;0.0;Customer
78;No;0;952;0;37;Offer C;DSL;29.0;Two Year;No;Bank Withdrawal;36.65;75;0;3;0.0;0.0;Customer
79;No;0;954;0;10;None;Cable;29.0;Month-to-Month;Yes;Credit Card;60.95;60;2;2;0.0;0.0;Customer
80;Yes;1;936;1;36;None;Cable;59.0;Two Year;Yes;Credit Card;92.9;25;3;6;0.0;0.0;Customer
81;Yes;1;928;1;72;Offer A;Fiber Optic;20.0;Two Year;Yes;Credit Card;116.4;60;3;6;0.0;0.0;Customer
82;Yes;0;945;1;34;None;None;0.0;One Year;No;Credit Card;19.6;55;0;0;0.0;0.0;Customer
83;Yes;0;953;1;66;None;DSL;10.0;Two Year;Yes;Bank Withdrawal;85.9;40;3;5;0.0;0.0;Customer
84;Yes;1;900;1;51;None;None;0.0;One Year;No;Credit Card;19.4;40;0;0;0.0;0.0;Customer
85;No;0;959;0;25;Offer C;None;0.0;Month-to-Month;No;Mailed Check;19.05;50;0;0;0.0;0.0;Customer
86;No;0;914;0;35;None;None;0.0;Two Year;Yes;Credit Card;20.2;65;0;0;0.0;0.0;Customer
87;Yes;0;923;1;55;None;Fiber Optic;53.0;Month-to-Month;Yes;Credit Card;77.75;20;0;3;0.0;0.0;Customer
88;Yes;1;960;1;7;Offer E;DSL;28.0;Month-to-Month;No;Bank Withdrawal;48.8;55;0;2;0.0;0.0;Customer
89;Yes;1;913;1;72;Offer A;Fiber Optic;28.0;Two Year;Yes;Bank Withdrawal;112.25;40;3;5;0.0;0.0;Customer
90;No;0;953;0;70;Offer A;Cable;3.0;Two Year;Yes;Bank Withdrawal;75.5;80;1;5;0.0;0.0;Customer
91;Yes;0;920;1;28;None;Fiber Optic;19.0;Month-to-Month;No;Credit Card;89.9;55;2;3;0.0;0.0;Customer
92;Yes;0;913;1;58;None;Fiber Optic;26.0;One Year;Yes;Bank Withdrawal;94.3;50;2;3;1.0;2.586206896551724;Customer
93;Yes;0;954;1;21;Offer D;Fiber Optic;20.0;One Year;No;Bank Withdrawal;79.2;50;0;3;0.0;0.0;Customer
94;No;0;912;0;47;Offer B;Fiber Optic;20.0;One Year;No;Bank Withdrawal;94.8;50;1;4;1.0;0.0;Customer
95;No;0;946;0;7;None;Fiber Optic;42.0;Month-to-Month;Yes;Credit Card;69.9;25;0;1;0.0;0.0;Customer
96;No;0;939;0;11;Offer D;DSL;22.0;Month-to-Month;No;Credit Card;45.2;45;0;0;0.0;13.636363636363637;Customer
97;Yes;1;953;1;67;None;Cable;51.0;Two Year;No;Credit Card;54.2;30;1;5;0.0;0.0;Customer
98;Yes;0;931;1;46;None;DSL;15.0;Month-to-Month;No;Bank Withdrawal;55.0;50;0;3;1.0;0.0;Customer
99;Yes;1;913;1;71;None;None;0.0;Two Year;No;Mailed Check;19.45;20;0;0;0.0;0.0;Customer
100;Yes;1;900;1;71;Offer A;Cable;71.0;Two Year;No;Credit Card;77.55;20;3;3;0.0;0.0;Customer
101;No;0;949;0;7;None;DSL;17.0;One Year;Yes;Bank Withdrawal;59.1;30;2;2;0.0;0.0;Customer
102;No;1;920;0;13;Offer D;DSL;17.0;Month-to-Month;No;Credit Card;66.4;50;3;1;0.0;0.0;Customer
103;Yes;0;944;1;10;None;DSL;5.0;Two Year;No;Mailed Check;80.85;40;3;4;0.0;0.0;Customer
104;Yes;0;921;1;32;None;None;0.0;Month-to-Month;No;Bank Withdrawal;19.4;55;0;0;0.0;0.0;Customer
105;Yes;1;906;1;7;Offer E;None;0.0;Two Year;No;Credit Card;19.85;40;0;0;0.0;0.0;Customer
106;Yes;0;940;1;63;Offer B;Fiber Optic;27.0;One Year;Yes;Credit Card;81.2;55;0;3;0.0;0.0;Customer
107;No;0;921;0;47;None;None;0.0;Two Year;Yes;Credit Card;20.55;35;0;0;0.0;0.0;Customer
108;No;0;902;0;12;Offer D;Fiber Optic;6.0;Month-to-Month;Yes;Bank Withdrawal;89.15;50;2;2;0.0;5.833333333333333;Customer
109;Yes;0;922;1;51;None;Cable;3.0;One Year;Yes;Bank Withdrawal;76.4;60;3;3;0.0;0.0;Customer
110;Yes;0;945;1;23;None;None;0.0;One Year;Yes;Bank Withdrawal;20.75;70;0;0;1.0;0.0;Customer
111;No;0;945;0;5;None;DSL;27.0;Two Year;No;Credit Card;59.9;80;0;3;0.0;4.0;Customer
112;No;0;922;0;47;None;Fiber Optic;25.0;Month-to-Month;No;Credit Card;100.75;50;1;5;0.0;0.0;Customer
113;Yes;0;902;1;69;None;Fiber Optic;20.0;Two Year;Yes;Credit Card;92.45;45;1;4;0.0;0.0;Customer
114;Yes;1;922;1;12;None;None;0.0;Month-to-Month;Yes;Bank Withdrawal;19.2;40;0;0;1.0;0.0;Customer
115;Yes;1;941;1;44;Offer B;Fiber Optic;27.0;One Year;No;Bank Withdrawal;94.4;40;2;3;0.0;0.9090909090909091;Customer
116;No;0;920;0;68;Offer A;None;0.0;Two Year;Yes;Credit Card;20.0;65;0;0;0.0;0.0;Customer
117;Yes;0;928;1;64;None;None;0.0;One Year;No;Bank Withdrawal;19.8;45;0;0;0.0;0.0;Customer
118;No;1;920;0;11;Offer D;None;0.0;Month-to-Month;No;Credit Card;19.7;55;0;0;0.0;0.0;Customer
119;Yes;0;922;0;27;Offer C;Fiber Optic;59.0;Month-to-Month;Yes;Bank Withdrawal;76.1;25;0;2;1.0;0.0;Customer
120;Yes;1;939;1;47;None;None;0.0;Two Year;No;Credit Card;20.25;65;0;0;0.0;0.0;Customer
121;Yes;1;932;1;71;Offer A;Fiber Optic;59.0;One Year;Yes;Bank Withdrawal;104.65;25;3;4;0.0;0.0;Customer
122;No;0;957;0;26;None;Fiber Optic;8.0;Month-to-Month;Yes;Credit Card;92.4;35;1;4;0.0;0.0;Customer
123;Yes;1;932;1;57;Offer B;None;0.0;Two Year;No;Bank Withdrawal;19.5;35;0;0;1.0;0.0;Customer
124;Yes;0;960;1;50;None;None;0.0;Two Year;No;Credit Card;20.55;30;0;0;0.0;0.0;Customer
125;Yes;1;939;1;18;Offer D;None;0.0;One Year;No;Bank Withdrawal;19.8;40;0;0;0.0;0.0;Customer
126;No;0;946;0;5;Offer E;Fiber Optic;4.0;One Year;Yes;Bank Withdrawal;84.7;75;1;2;1.0;0.0;Customer
127;Yes;0;956;0;20;Offer D;None;0.0;Month-to-Month;No;Bank Withdrawal;19.25;50;0;0;0.0;0.0;Customer
128;Yes;0;932;1;72;None;DSL;52.0;Two Year;Yes;Bank Withdrawal;85.15;20;3;5;0.0;0.0;Customer
129;Yes;1;932;1;57;None;DSL;15.0;Month-to-Month;No;Bank Withdrawal;65.2;35;0;5;0.0;0.0;Customer
130;Yes;0;940;1;49;None;Cable;82.0;One Year;Yes;Credit Card;35.8;20;0;3;0.0;0.0;Customer
131;No;0;917;0;59;None;DSL;7.0;Month-to-Month;Yes;Bank Withdrawal;51.7;45;3;2;0.0;0.0;Customer
132;Yes;0;900;1;54;None;DSL;28.0;One Year;Yes;Bank Withdrawal;70.7;50;1;4;0.0;0.0;Customer
133;Yes;1;959;1;45;None;Fiber Optic;19.0;Month-to-Month;Yes;Bank Withdrawal;95.95;55;2;4;0.0;0.0;Customer
134;No;0;934;0;58;Offer B;None;0.0;Two Year;Yes;Credit Card;24.7;25;0;1;0.0;0.0;Customer
135;Yes;0;900;1;72;None;Fiber Optic;22.0;Two Year;Yes;Bank Withdrawal;103.75;40;3;3;0.0;1.8055555555555556;Customer
136;Yes;1;935;1;45;Offer B;None;0.0;Two Year;No;Mailed Check;20.85;25;0;0;0.0;0.0;Customer
137;Yes;0;925;1;71;Offer A;Fiber Optic;27.0;Two Year;No;Credit Card;89.45;75;1;3;0.0;0.0;Customer
138;Yes;1;954;1;35;None;None;0.0;Two Year;Yes;Credit Card;25.4;55;0;1;0.0;0.0;Customer
139;No;0;936;0;59;None;Fiber Optic;9.0;One Year;Yes;Bank Withdrawal;99.5;70;3;3;0.0;0.0;Customer
140;Yes;0;959;1;70;None;Fiber Optic;16.0;One Year;Yes;Bank Withdrawal;95.0;50;1;4;0.0;0.0;Customer
141;Yes;1;902;1;20;Offer D;Fiber Optic;23.0;Month-to-Month;No;Credit Card;96.8;30;1;4;0.0;0.0;Customer
142;No;0;959;0;25;None;Cable;85.0;Month-to-Month;Yes;Bank Withdrawal;78.35;20;1;6;0.0;0.0;Customer
143;No;0;900;0;63;Offer B;DSL;17.0;Two Year;Yes;Credit Card;79.85;35;1;6;0.0;0.0;Customer
144;Yes;0;913;1;66;None;DSL;29.0;Two Year;Yes;Bank Withdrawal;56.6;40;1;5;0.0;0.0;Customer
145;Yes;0;932;1;71;Offer A;DSL;3.0;Two Year;Yes;Credit Card;91.25;60;3;6;0.0;0.0;Customer
146;No;1;917;0;7;Offer E;Fiber Optic;13.0;Month-to-Month;Yes;Bank Withdrawal;71.05;50;0;0;0.0;1.4285714285714286;Customer
147;No;0;931;0;40;Offer B;DSL;28.0;One Year;Yes;Bank Withdrawal;54.55;30;3;2;1.0;1.0;Customer
148;Yes;0;951;1;55;Offer B;DSL;53.0;One Year;Yes;Bank Withdrawal;90.15;20;3;6;0.0;0.0;Customer
149;Yes;0;953;1;39;None;Fiber Optic;18.0;One Year;No;Mailed Check;99.1;75;2;3;0.0;0.0;Customer
150;No;1;941;0;12;None;Fiber Optic;18.0;Month-to-Month;Yes;Bank Withdrawal;105.3;60;3;4;0.0;0.0;Customer
151;Yes;0;908;1;17;Offer D;Fiber Optic;5.0;One Year;Yes;Bank Withdrawal;96.65;35;3;2;0.0;0.0;Customer
152;No;0;923;0;46;Offer B;Fiber Optic;59.0;One Year;Yes;Credit Card;95.65;25;1;4;0.0;0.0;Customer
153;Yes;0;921;1;33;None;None;0.0;One Year;No;Credit Card;20.6;65;0;0;0.0;0.0;Customer
154;No;0;956;0;35;None;None;0.0;Two Year;No;Bank Withdrawal;23.3;40;0;1;0.0;0.0;Customer
155;Yes;1;900;0;48;Offer B;None;0.0;Two Year;No;Credit Card;23.55;40;0;1;0.0;0.0;Customer
156;Yes;0;952;0;70;Offer A;DSL;5.0;Two Year;No;Credit Card;86.45;30;3;5;0.0;0.0;Customer
157;No;0;953;0;67;None;Fiber Optic;19.0;Two Year;Yes;Credit Card;101.4;75;2;3;0.0;0.0;Customer
158;No;0;900;0;29;None;DSL;69.0;One Year;Yes;Bank Withdrawal;55.25;30;0;3;0.0;0.0;Customer
159;Yes;1;945;1;22;Offer D;None;0.0;Two Year;No;Credit Card;25.25;30;0;1;0.0;0.0;Customer
160;Yes;0;917;1;33;None;Cable;59.0;One Year;Yes;Credit Card;53.75;25;0;3;0.0;0.0;Customer
161;Yes;1;953;1;47;None;Fiber Optic;13.0;Month-to-Month;No;Bank Withdrawal;87.2;55;1;3;0.0;0.0;Customer
162;Yes;0;937;1;72;None;Fiber Optic;7.0;Two Year;Yes;Credit Card;105.0;45;3;4;0.0;0.0;Customer
163;No;0;900;0;62;Offer B;DSL;8.0;One Year;No;Bank Withdrawal;56.15;50;0;3;0.0;0.0;Customer
164;Yes;0;952;1;18;None;DSL;30.0;Month-to-Month;No;Credit Card;56.8;20;0;3;0.0;0.0;Customer
165;Yes;0;920;1;24;None;Fiber Optic;82.0;Month-to-Month;Yes;Credit Card;79.65;25;1;3;0.0;0.0;Customer
166;Yes;0;961;1;63;None;DSL;29.0;One Year;Yes;Bank Withdrawal;84.0;65;3;5;0.0;0.0;Customer
167;Yes;1;921;1;37;Offer C;Cable;52.0;One Year;Yes;Bank Withdrawal;40.2;25;0;4;0.0;0.0;Customer
168;Yes;1;926;1;18;None;None;0.0;Two Year;No;Credit Card;19.35;20;0;0;0.0;0.0;Customer
169;No;0;940;0;11;Offer D;DSL;3.0;Month-to-Month;Yes;Credit Card;44.65;60;0;1;0.0;0.0;Customer
170;Yes;1;917;1;48;Offer B;Fiber Optic;29.0;One Year;Yes;Bank Withdrawal;99.7;55;3;3;0.0;0.0;Customer
171;No;0;937;0;24;None;Fiber Optic;23.0;Two Year;Yes;Bank Withdrawal;80.5;75;0;3;0.0;0.0;Customer
172;Yes;0;945;1;65;None;Fiber Optic;52.0;Two Year;Yes;Bank Withdrawal;107.65;25;3;5;0.0;0.0;Customer
173;Yes;0;937;1;27;Offer C;DSL;15.0;Month-to-Month;Yes;Bank Withdrawal;53.8;30;0;3;0.0;0.0;Customer
174;No;1;952;0;6;None;None;0.0;Month-to-Month;Yes;Credit Card;20.2;40;0;0;0.0;0.0;Customer
175;No;0;936;0;47;Offer B;Fiber Optic;10.0;Month-to-Month;Yes;Bank Withdrawal;106.35;50;3;4;0.0;0.0;Customer
176;Yes;0;920;1;32;Offer C;Fiber Optic;11.0;Two Year;No;Mailed Check;79.3;70;0;3;0.0;0.0;Customer
177;No;0;920;0;18;Offer D;Fiber Optic;18.0;Month-to-Month;Yes;Bank Withdrawal;74.7;80;0;1;0.0;1.1111111111111112;Customer
178;No;0;923;0;8;None;None;0.0;One Year;Yes;Bank Withdrawal;20.2;25;0;0;0.0;0.0;Customer
179;No;0;959;0;27;None;None;0.0;Two Year;Yes;Mailed Check;19.6;60;0;0;1.0;0.0;Customer
180;Yes;0;922;1;44;Offer B;None;0.0;One Year;No;Credit Card;25.7;55;0;1;0.0;0.0;Customer
181;Yes;0;940;1;7;None;Fiber Optic;21.0;Month-to-Month;Yes;Bank Withdrawal;76.14999999999999;80;0;2;0.0;0.0;Customer
182;Yes;1;921;1;72;Offer A;Fiber Optic;14.0;Two Year;Yes;Bank Withdrawal;116.85;65;3;6;0.0;0.0;Customer
183;Yes;0;960;1;57;None;DSL;10.0;One Year;Yes;Credit Card;71.1;70;1;4;0.0;0.0;Customer
184;No;0;923;0;33;None;Fiber Optic;19.0;Month-to-Month;Yes;Bank Withdrawal;70.4;45;0;0;0.0;1.8181818181818181;Customer
185;No;0;922;0;28;Offer C;None;0.0;One Year;No;Credit Card;18.25;60;0;0;0.0;0.0;Customer
186;Yes;1;959;1;72;Offer A;Fiber Optic;57.0;Two Year;Yes;Credit Card;104.9;45;3;4;0.0;0.0;Customer
187;No;1;961;0;10;None;Fiber Optic;52.0;Month-to-Month;Yes;Bank Withdrawal;91.1;45;1;3;0.0;0.0;Customer
188;Yes;0;934;1;72;None;Fiber Optic;18.0;Two Year;Yes;Bank Withdrawal;110.45;35;3;5;0.0;0.0;Customer
189;No;0;927;0;11;None;Cable;23.0;One Year;No;Credit Card;64.9;55;2;3;0.0;0.0;Customer
190;Yes;0;932;1;35;None;Fiber Optic;10.0;Two Year;No;Bank Withdrawal;102.05;70;3;3;0.0;0.0;Customer
191;No;0;957;0;51;None;Cable;3.0;One Year;No;Credit Card;59.9;60;0;4;0.0;0.0;Customer
192;No;0;934;0;36;None;DSL;21.0;One Year;No;Credit Card;54.45;40;0;3;0.0;0.0;Customer
193;Yes;0;959;1;72;None;Fiber Optic;4.0;Two Year;Yes;Bank Withdrawal;109.55;65;3;5;0.0;0.0;Customer
194;No;0;941;0;7;Offer E;None;0.0;Month-to-Month;Yes;Bank Withdrawal;25.05;25;0;1;0.0;0.0;Customer
195;No;0;917;0;17;Offer D;Fiber Optic;21.0;Month-to-Month;Yes;Credit Card;90.95;50;2;3;0.0;0.0;Customer
196;Yes;1;951;1;38;Offer C;DSL;59.0;Two Year;Yes;Bank Withdrawal;85.4;25;3;5;0.0;0.0;Customer
197;No;0;922;0;29;Offer C;DSL;25.0;Month-to-Month;No;Bank Withdrawal;48.95;35;0;2;0.0;0.0;Customer
198;No;0;919;0;35;None;DSL;82.0;One Year;No;Mailed Check;61.2;25;0;4;0.0;0.0;Customer
199;Yes;1;923;1;71;Offer A;Fiber Optic;69.0;Two Year;Yes;Bank Withdrawal;97.2;30;3;3;0.0;0.0;Customer
200;Yes;1;954;1;71;None;Fiber Optic;29.0;Two Year;No;Bank Withdrawal;114.6;45;3;6;0.0;0.0;Customer
201;No;0;917;0;50;Offer B;None;0.0;Two Year;No;Bank Withdrawal;24.9;65;0;1;0.0;0.0;Customer
202;No;0;952;0;5;None;Cable;22.0;Month-to-Month;Yes;Bank Withdrawal;53.8;55;0;2;0.0;2.0;Customer
203;Yes;0;958;1;72;Offer A;Fiber Optic;22.0;Two Year;Yes;Bank Withdrawal;113.65;35;3;6;0.0;0.0;Customer
204;No;0;945;0;72;None;Cable;9.0;Two Year;Yes;Bank Withdrawal;65.6;35;3;5;0.0;0.0;Customer
205;Yes;0;907;1;71;Offer A;Cable;76.0;Two Year;No;Credit Card;91.05;25;3;6;0.0;0.0;Customer
206;Yes;0;936;1;55;Offer B;Fiber Optic;25.0;Month-to-Month;Yes;Credit Card;103.65;55;3;4;0.0;0.0;Customer
207;No;0;959;0;41;None;DSL;30.0;One Year;Yes;Bank Withdrawal;68.6;35;2;4;0.0;0.0;Customer
208;No;0;956;0;67;Offer A;Cable;85.0;One Year;Yes;Bank Withdrawal;49.35;30;1;4;0.0;0.0;Customer
209;Yes;0;930;1;18;Offer D;Fiber Optic;7.0;Month-to-Month;Yes;Credit Card;95.95;55;3;2;1.0;0.0;Customer
210;Yes;1;960;1;47;None;Fiber Optic;19.0;One Year;Yes;Bank Withdrawal;113.45;60;3;6;0.0;0.0;Customer
211;No;0;952;0;26;Offer C;Cable;59.0;One Year;Yes;Credit Card;51.55;30;0;2;0.0;0.0;Customer
